Company Name,Symbol,Sector,Industry,Exchange
,SJVN,Utilities,Electric Utilities,NSE
,SOMANYCERA,Producer Manufacturing,Building Products,NSE
,IDFC,Finance,Investment Managers,NSE
,CAMPUS,Consumer Non-Durables,Apparel/Footwear,NSE
,FEDERALBNK,Finance,Regional Banks,NSE
,ICIL,Process Industries,Textiles,NSE
,SHOPERSTOP,Retail Trade,Department Stores,NSE
,REDINGTON,Electronic Technology,Computer Peripherals,NSE
,GREENPANEL,Non-Energy Minerals,Forest Products,NSE
,CARYSIL,Consumer Durables,Home Furnishings,NSE
,KANSAINER,Process Industries,Industrial Specialties,NSE
,TEGA,Distribution Services,Wholesale Distributors,NSE
,CANFINHOME,Finance,Finance/Rental/Leasing,NSE
,DREAMFOLKS,Transportation,Other Transportation,NSE
,WELENT,Finance,Financial Conglomerates,NSE
,GLS,Health Technology,Pharmaceuticals: Major,NSE
,MAHLIFE,Finance,Real Estate Development,NSE
,JBCHEPHARM,Health Technology,Pharmaceuticals: Major,NSE
,ACC,Non-Energy Minerals,Construction Materials,NSE
,NATIONALUM,Non-Energy Minerals,Aluminum,NSE
,FLUOROCHEM,Process Industries,Chemicals: Specialty,NSE
,WHIRLPOOL,Consumer Durables,Electronics/Appliances,NSE
,MMTC,Distribution Services,Wholesale Distributors,NSE
,GABRIEL,Producer Manufacturing,Auto Parts: OEM,NSE
,EPIGRAL,,,
,GRSE,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,NFL,Process Industries,Chemicals: Agricultural,NSE
,SBFC,,,
,TEJASNET,Electronic Technology,Telecommunications Equipment,NSE
,BSE,Finance,Investment Banks/Brokers,NSE
,RVNL,Industrial Services,Engineering & Construction,NSE
,BIKAJI,Consumer Non-Durables,Food: Specialty/Candy,NSE
,APOLLOTYRE,Consumer Durables,Automotive Aftermarket,NSE
,RAJESHEXPO,Consumer Durables,Other Consumer Specialties,NSE
,FACT,Process Industries,Chemicals: Agricultural,NSE
,BANDHANBNK,Finance,Major Banks,NSE
,INDIANB,Finance,Major Banks,NSE
,PRUDENT,Finance,Investment Managers,NSE
,ALKEM,Health Technology,Pharmaceuticals: Major,NSE
,ABFRL,Retail Trade,Apparel/Footwear Retail,NSE
,MHRIL,Consumer Services,Other Consumer Services,NSE
,DOLLAR,Consumer Non-Durables,Apparel/Footwear,NSE
,MARKSANS,Health Technology,Pharmaceuticals: Major,NSE
,SOUTHBANK,Finance,Major Banks,NSE
,GMMPFAUDLR,Producer Manufacturing,Industrial Machinery,NSE
,JWL,Producer Manufacturing,Trucks/Construction/Farm Machinery,NSE
,FORTIS,Health Services,Hospital/Nursing Management,NSE
,JYOTHYLAB,Consumer Non-Durables,Household/Personal Care,NSE
,EMIL,Retail Trade,Electronics/Appliance Stores,NSE
,ROSSARI,Process Industries,Chemicals: Specialty,NSE
,HIL,Non-Energy Minerals,Forest Products,NSE
,FCL,Process Industries,Industrial Specialties,NSE
,NHPC,Utilities,Electric Utilities,NSE
,STLTECH,Technology Services,Information Technology Services,NSE
,LTTS,Industrial Services,Engineering & Construction,NSE
,JPPOWER,Utilities,Electric Utilities,NSE
,RITES,Commercial Services,Miscellaneous Commercial Services,NSE
,EIHOTEL,Consumer Services,Hotels/Resorts/Cruise lines,NSE
,RAILTEL,Communications,Major Telecommunications,NSE
,GARFIBRES,Producer Manufacturing,Miscellaneous Manufacturing,NSE
